               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037112,            0.011949,           0.0091679,             0.50686,              0.3022,             0.33915,             0.16815,            0.040659,           0.0073009,           0.0084045,            0.008845,            0.008845,            0.008845
                  37,            0.036306,            0.012949,           0.0091524,             0.45316,              0.3022,             0.31615,             0.14906,            0.048503,           0.0075979,           0.0078522,            0.008812,            0.008812,            0.008812
                  38,            0.038513,            0.012008,           0.0081316,             0.43061,             0.14835,             0.15354,            0.054163,            0.053799,             0.00962,           0.0064936,            0.008779,            0.008779,            0.008779
                  39,            0.038292,            0.011998,           0.0086154,              0.4027,             0.51997,             0.47899,             0.18392,            0.036775,           0.0083368,           0.0032898,            0.008746,            0.008746,            0.008746
                  40,            0.037898,            0.012301,           0.0059574,             0.57974,             0.37381,             0.41528,             0.21011,            0.047165,           0.0083447,           0.0090942,            0.008713,            0.008713,            0.008713
                  41,            0.037994,            0.012011,             0.00751,             0.92886,             0.45015,             0.54751,             0.29823,             0.04051,           0.0068922,           0.0073299,             0.00868,             0.00868,             0.00868
                  42,            0.036112,            0.011489,           0.0080912,             0.76189,              0.3388,             0.38197,             0.16602,            0.040855,           0.0079024,            0.015673,            0.008647,            0.008647,            0.008647
                  43,            0.033765,            0.013143,            0.007417,             0.46654,             0.53264,             0.47781,             0.20139,            0.043809,           0.0067081,           0.0073433,            0.008614,            0.008614,            0.008614
                  44,            0.035016,            0.011569,            0.005068,              0.5939,             0.37912,             0.46721,             0.24131,            0.039794,            0.006479,           0.0066591,            0.008581,            0.008581,            0.008581
                  45,            0.033497,            0.011492,           0.0055153,             0.34395,             0.45604,              0.3844,             0.19157,            0.038865,           0.0068257,           0.0086644,            0.008548,            0.008548,            0.008548
                  46,             0.03822,            0.010509,           0.0056648,             0.42795,             0.33516,              0.3454,             0.17493,            0.046863,           0.0064902,           0.0080148,            0.008515,            0.008515,            0.008515
                  47,            0.037176,            0.010484,           0.0076856,             0.37002,             0.37912,             0.36533,             0.19614,            0.038427,           0.0065081,             0.01341,            0.008482,            0.008482,            0.008482
                  48,            0.031127,             0.01109,           0.0083091,             0.37856,             0.67582,             0.53621,             0.26501,            0.038839,           0.0075095,            0.015905,            0.008449,            0.008449,            0.008449
                  49,            0.034723,            0.011945,           0.0077063,             0.90967,             0.54911,             0.58537,             0.29679,            0.039891,           0.0063374,            0.012198,            0.008416,            0.008416,            0.008416
                  50,            0.033071,            0.010267,           0.0069414,             0.91628,             0.52058,             0.61945,             0.23685,            0.044202,            0.008441,           0.0050705,            0.008383,            0.008383,            0.008383
                  51,            0.036181,            0.011873,           0.0073412,              0.8589,             0.48686,             0.52698,             0.23834,            0.035803,           0.0095277,           0.0058744,             0.00835,             0.00835,             0.00835
                  52,            0.033036,            0.010602,            0.006398,             0.49496,             0.52747,             0.54439,             0.30672,            0.031594,            0.007005,            0.002179,            0.008317,            0.008317,            0.008317
                  53,            0.032053,            0.010748,           0.0067989,             0.85145,             0.40133,             0.48115,             0.28867,            0.035049,           0.0077882,            0.012107,            0.008284,            0.008284,            0.008284
                  54,             0.03318,            0.010497,            0.005295,             0.70171,             0.35478,             0.43562,             0.22511,            0.041817,           0.0082092,           0.0083714,            0.008251,            0.008251,            0.008251
                  55,             0.03691,           0.0094441,           0.0057759,             0.56706,             0.42206,             0.50929,             0.30818,            0.038355,           0.0078936,           0.0078457,            0.008218,            0.008218,            0.008218
                  56,            0.033965,            0.011043,           0.0060908,             0.44629,             0.63736,             0.55834,             0.30374,            0.037282,           0.0081935,           0.0067965,            0.008185,            0.008185,            0.008185
                  57,            0.030497,            0.011072,           0.0061262,             0.60107,             0.41209,             0.51768,             0.29203,            0.036718,           0.0061483,           0.0094649,            0.008152,            0.008152,            0.008152
                  58,             0.03395,            0.010461,            0.007075,             0.59624,             0.42956,             0.48105,             0.29704,            0.036502,           0.0069401,           0.0071733,            0.008119,            0.008119,            0.008119
