               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039953,            0.011786,           0.0079373,             0.64585,             0.32418,             0.31353,                0.14,            0.051497,           0.0098574,            0.010827,            0.009307,            0.009307,            0.009307
                  37,            0.037956,            0.012947,            0.009421,             0.27665,             0.44505,             0.33871,             0.17358,            0.045435,           0.0096366,           0.0069416,           0.0092872,           0.0092872,           0.0092872
                  38,            0.040369,            0.012736,           0.0091775,             0.90768,             0.48735,             0.50791,             0.23621,            0.040168,           0.0088534,           0.0072613,           0.0092674,           0.0092674,           0.0092674
                  39,            0.036777,            0.011864,             0.00876,             0.40867,             0.48352,             0.41067,             0.14506,            0.041984,           0.0079663,            0.010568,           0.0092476,           0.0092476,           0.0092476
                  40,            0.037935,            0.012809,           0.0079433,             0.39181,             0.56044,             0.42891,             0.17494,            0.042214,           0.0068722,           0.0076046,           0.0092278,           0.0092278,           0.0092278
                  41,            0.038032,            0.011845,           0.0089501,             0.33268,             0.52747,             0.41348,             0.17524,            0.046792,            0.007843,           0.0060063,            0.009208,            0.009208,            0.009208
                  42,            0.037269,            0.011132,           0.0077986,             0.53448,             0.26374,             0.33779,             0.15616,            0.045163,           0.0089018,           0.0062125,           0.0091882,           0.0091882,           0.0091882
                  43,            0.035056,            0.013228,           0.0083006,             0.29051,             0.37912,             0.31163,             0.16226,            0.037482,           0.0085289,           0.0074078,           0.0091684,           0.0091684,           0.0091684
                  44,            0.036921,            0.012401,           0.0062204,             0.38522,             0.45055,             0.46557,             0.27515,            0.034962,           0.0069799,           0.0077133,           0.0091486,           0.0091486,           0.0091486
                  45,            0.034942,            0.012086,           0.0068886,              0.5393,             0.40734,             0.45127,             0.31159,            0.033838,           0.0059476,            0.013844,           0.0091288,           0.0091288,           0.0091288
                  46,            0.037278,            0.011232,           0.0063791,             0.50147,             0.34066,             0.42562,             0.21729,            0.042294,           0.0058396,            0.013404,            0.009109,            0.009109,            0.009109
                  47,            0.036328,            0.011796,           0.0084488,             0.47046,              0.6044,             0.58373,             0.25357,            0.040071,           0.0061789,           0.0085875,           0.0090892,           0.0090892,           0.0090892
                  48,            0.031795,            0.011309,           0.0057844,              0.4353,             0.30769,             0.44817,             0.23394,            0.039376,            0.006382,           0.0066545,           0.0090694,           0.0090694,           0.0090694
                  49,            0.035976,             0.01104,           0.0072967,             0.35935,             0.42308,             0.47649,             0.23345,            0.038513,           0.0066159,           0.0068833,           0.0090496,           0.0090496,           0.0090496
                  50,            0.034833,           0.0099132,           0.0087782,             0.44116,             0.45604,             0.49808,             0.26531,            0.037167,           0.0060639,           0.0061048,           0.0090298,           0.0090298,           0.0090298
                  51,            0.034791,            0.012117,           0.0076166,             0.32537,             0.41758,             0.39482,             0.19694,            0.041648,           0.0069642,           0.0063829,             0.00901,             0.00901,             0.00901
                  52,            0.034259,            0.010645,           0.0075313,             0.45614,             0.48901,             0.37171,             0.19258,            0.044981,           0.0072255,           0.0074104,           0.0089902,           0.0089902,           0.0089902
                  53,            0.033757,            0.010962,           0.0067522,              0.7015,             0.44901,             0.51571,             0.24811,             0.03996,           0.0073764,            0.011203,           0.0089704,           0.0089704,           0.0089704
                  54,            0.033528,            0.010538,           0.0075884,             0.69578,               0.337,             0.42867,             0.24814,            0.037869,           0.0070088,            0.010488,           0.0089506,           0.0089506,           0.0089506
                  55,            0.036148,            0.010663,           0.0075241,             0.58006,             0.48352,             0.47239,             0.23815,            0.039604,           0.0075045,           0.0063114,           0.0089308,           0.0089308,           0.0089308
                  56,            0.033628,            0.011699,           0.0074847,              0.8151,             0.42341,             0.52304,             0.25547,            0.036911,           0.0073495,           0.0074509,            0.008911,            0.008911,            0.008911
                  57,            0.032927,            0.010981,           0.0054398,             0.51933,             0.37912,              0.4302,             0.24931,            0.038522,            0.007266,           0.0090827,           0.0088912,           0.0088912,           0.0088912
                  58,             0.03494,            0.011205,           0.0079033,             0.50447,             0.37912,             0.42155,             0.21208,            0.037143,           0.0067351,           0.0067261,           0.0088714,           0.0088714,           0.0088714
                  59,            0.035054,            0.010545,            0.007058,             0.53661,             0.37912,             0.41392,               0.239,             0.03948,           0.0074999,           0.0057189,           0.0088516,           0.0088516,           0.0088516
                  60,            0.033212,            0.011139,           0.0096774,              0.4698,             0.41579,             0.38877,             0.22361,            0.039695,           0.0085988,            0.012298,           0.0088318,           0.0088318,           0.0088318
