               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035105,            0.012612,           0.0058437,             0.85066,             0.85412,              0.9145,             0.52186,            0.026217,            0.005045,            0.001409,            0.008845,            0.008845,            0.008845
                  37,            0.033608,            0.013634,           0.0041781,             0.83649,             0.82681,             0.89905,             0.54083,            0.027237,           0.0052721,           0.0010433,            0.008812,            0.008812,            0.008812
                  38,            0.033842,             0.01267,           0.0055518,             0.91292,               0.841,             0.92035,             0.58803,            0.024692,           0.0048484,           0.0012179,            0.008779,            0.008779,            0.008779
                  39,            0.033549,            0.012572,           0.0049009,             0.89358,             0.79132,             0.90154,             0.55694,            0.023923,           0.0049972,           0.0012529,            0.008746,            0.008746,            0.008746
                  40,            0.033622,             0.01236,           0.0043892,             0.81008,             0.74134,             0.79983,             0.47278,            0.027951,           0.0051966,           0.0014962,            0.008713,            0.008713,            0.008713
                  41,             0.03263,            0.012382,           0.0030777,             0.85601,             0.78418,             0.89689,             0.54375,            0.023096,           0.0047697,           0.0010962,             0.00868,             0.00868,             0.00868
                  42,            0.031132,            0.012394,           0.0024607,             0.85352,             0.86074,             0.92015,             0.54639,            0.026288,           0.0047484,          0.00098878,            0.008647,            0.008647,            0.008647
                  43,            0.031551,            0.012612,           0.0046188,             0.83691,             0.86783,             0.89301,              0.5375,            0.024902,           0.0048805,           0.0010284,            0.008614,            0.008614,            0.008614
                  44,            0.029945,             0.01194,           0.0047254,             0.84163,             0.87015,             0.92374,             0.60741,            0.023449,           0.0046346,           0.0015925,            0.008581,            0.008581,            0.008581
                  45,            0.032363,            0.012101,           0.0035422,             0.84572,             0.84034,             0.88892,             0.55235,            0.026896,            0.004536,           0.0012697,            0.008548,            0.008548,            0.008548
                  46,            0.032746,            0.012735,           0.0042385,             0.93114,             0.86852,             0.91542,             0.58197,            0.026075,           0.0046148,           0.0014037,            0.008515,            0.008515,            0.008515
                  47,            0.031011,            0.012461,           0.0049807,             0.89522,             0.85777,             0.91287,             0.59591,            0.026288,             0.00448,           0.0017547,            0.008482,            0.008482,            0.008482
                  48,            0.031939,            0.012456,           0.0040666,             0.87824,             0.88396,              0.9403,             0.60553,              0.0223,           0.0043842,           0.0016854,            0.008449,            0.008449,            0.008449
                  49,            0.031184,            0.011951,           0.0057305,             0.92446,             0.82012,             0.93377,             0.61638,            0.022407,           0.0044427,           0.0010691,            0.008416,            0.008416,            0.008416
                  50,            0.032673,            0.012261,           0.0047527,             0.84205,              0.8184,             0.89165,             0.54956,            0.028031,           0.0048298,           0.0021412,            0.008383,            0.008383,            0.008383
                  51,            0.031576,            0.011608,           0.0028428,             0.87752,              0.7611,             0.91018,             0.55049,            0.025374,           0.0048683,           0.0014679,             0.00835,             0.00835,             0.00835
