               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035187,            0.012974,           0.0043777,             0.81102,             0.79332,             0.86635,             0.51615,            0.029916,           0.0050473,           0.0030104,            0.008845,            0.008845,            0.008845
                  37,             0.03481,             0.01296,           0.0050402,             0.80009,             0.88075,             0.89879,             0.53777,            0.031379,            0.005033,            0.002763,            0.008812,            0.008812,            0.008812
                  38,            0.035082,            0.013426,            0.004707,             0.74672,             0.80547,             0.86234,             0.50441,            0.030612,           0.0051975,           0.0013517,            0.008779,            0.008779,            0.008779
                  39,            0.033429,            0.013409,           0.0045277,             0.83991,             0.82929,             0.88171,             0.52315,            0.031769,           0.0049107,           0.0010362,            0.008746,            0.008746,            0.008746
                  40,            0.033924,            0.014162,           0.0054096,             0.82503,             0.75157,             0.82711,             0.47249,            0.028943,           0.0053101,           0.0019833,            0.008713,            0.008713,            0.008713
                  41,            0.032834,            0.013579,           0.0054589,             0.71534,             0.74402,             0.76785,             0.42862,            0.032145,           0.0047598,            0.011075,             0.00868,             0.00868,             0.00868
                  42,            0.033738,            0.012933,           0.0049988,             0.88253,               0.765,             0.87229,             0.45596,            0.033594,           0.0049183,           0.0043728,            0.008647,            0.008647,            0.008647
                  43,             0.03449,            0.013107,           0.0044346,              0.8473,             0.81993,             0.90186,             0.52377,            0.029671,           0.0045378,           0.0027163,            0.008614,            0.008614,            0.008614
                  44,            0.034164,             0.01313,           0.0042865,             0.86872,             0.83994,             0.89447,             0.53713,              0.0295,           0.0047183,           0.0022963,            0.008581,            0.008581,            0.008581
                  45,            0.032814,            0.013188,           0.0045722,             0.84869,             0.84105,             0.90826,             0.57371,            0.027899,           0.0045528,           0.0021925,            0.008548,            0.008548,            0.008548
                  46,            0.032491,            0.013301,           0.0039913,             0.83554,              0.8881,             0.93331,             0.59086,            0.029641,           0.0044396,           0.0017842,            0.008515,            0.008515,            0.008515
                  47,            0.032374,            0.012551,           0.0032133,             0.84553,             0.86502,             0.91889,             0.53642,            0.034995,           0.0044422,           0.0014069,            0.008482,            0.008482,            0.008482
                  48,             0.03377,            0.012968,           0.0046138,             0.87906,             0.89291,             0.94906,             0.60556,            0.025886,           0.0044143,           0.0018673,            0.008449,            0.008449,            0.008449
                  49,            0.033264,            0.013091,           0.0039712,             0.85808,             0.93253,             0.95689,             0.61155,            0.026169,           0.0045829,           0.0013023,            0.008416,            0.008416,            0.008416
                  50,            0.032539,            0.012805,           0.0032553,             0.88846,             0.93935,             0.94742,             0.61603,            0.026007,           0.0042644,           0.0014974,            0.008383,            0.008383,            0.008383
                  51,             0.03138,            0.012811,           0.0045215,             0.90802,             0.91657,             0.94979,             0.57374,            0.026915,           0.0044897,           0.0020096,             0.00835,             0.00835,             0.00835
                  52,            0.030136,            0.012892,           0.0042848,             0.91864,             0.89916,             0.92727,             0.61499,            0.026264,           0.0043049,           0.0018652,            0.008317,            0.008317,            0.008317
                  53,            0.031695,            0.012369,           0.0036591,             0.89989,             0.89945,             0.94377,             0.62924,            0.026759,           0.0044141,           0.0018307,            0.008284,            0.008284,            0.008284
                  54,            0.031571,            0.012179,            0.003178,              0.8969,             0.89552,             0.94144,             0.63438,            0.026028,           0.0041521,           0.0014532,            0.008251,            0.008251,            0.008251
                  55,            0.030834,            0.012359,           0.0034865,              0.9565,             0.92037,             0.96186,              0.5987,            0.027368,            0.004528,           0.0012865,            0.008218,            0.008218,            0.008218
                  56,            0.031088,            0.012066,           0.0035585,             0.91982,             0.83823,             0.93353,             0.64173,            0.023938,           0.0040042,           0.0016402,            0.008185,            0.008185,            0.008185
                  57,             0.03103,            0.012276,           0.0025987,             0.85619,              0.8283,             0.91895,             0.59798,            0.025962,           0.0046813,           0.0010352,            0.008152,            0.008152,            0.008152
