               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.050679,            0.017054,             0.01378,             0.44873,              0.3022,             0.37855,             0.15451,            0.047825,           0.0083386,           0.0063122,            0.008845,            0.008845,            0.008845
                  37,            0.051109,            0.017026,            0.012152,             0.72758,             0.36918,             0.47806,             0.21422,             0.04804,           0.0078324,           0.0063311,            0.008812,            0.008812,            0.008812
                  38,            0.045004,            0.017327,             0.01268,              0.7959,             0.37912,             0.50819,             0.23437,            0.047685,           0.0079306,            0.010114,            0.008779,            0.008779,            0.008779
                  39,            0.043132,            0.016211,            0.013021,             0.67003,             0.37864,             0.49382,             0.21415,            0.050425,            0.007671,            0.011396,            0.008746,            0.008746,            0.008746
                  40,            0.042109,            0.014745,            0.012345,              0.6736,             0.38348,             0.51151,             0.22979,            0.049595,           0.0075268,            0.012382,            0.008713,            0.008713,            0.008713
                  41,            0.046859,             0.01461,            0.016937,              0.7555,             0.38758,             0.48981,             0.23613,            0.048333,           0.0075392,            0.012445,             0.00868,             0.00868,             0.00868
                  42,            0.045034,             0.01522,            0.012777,             0.47029,             0.34066,             0.40498,              0.1543,            0.046855,           0.0075781,            0.012368,            0.008647,            0.008647,            0.008647
                  43,            0.050645,            0.013763,             0.01428,             0.39969,             0.56593,             0.44303,             0.12191,             0.05307,           0.0076866,            0.010265,            0.008614,            0.008614,            0.008614
                  44,            0.057667,            0.014849,            0.011498,              0.4133,             0.44908,             0.43998,             0.18771,            0.051627,            0.008025,           0.0098308,            0.008581,            0.008581,            0.008581
                  45,            0.050247,            0.014667,            0.014524,             0.86006,             0.32407,             0.47445,             0.21098,            0.048404,           0.0081651,           0.0084625,            0.008548,            0.008548,            0.008548
                  46,            0.047283,            0.015017,            0.014587,             0.80548,              0.4822,             0.53199,              0.2409,            0.045285,           0.0082024,           0.0073123,            0.008515,            0.008515,            0.008515
                  47,            0.046532,            0.015243,            0.012671,             0.65665,             0.47306,             0.50893,             0.27864,            0.043357,           0.0083896,           0.0056077,            0.008482,            0.008482,            0.008482
                  48,            0.045056,            0.014396,            0.011221,             0.49233,             0.46261,             0.47468,             0.25093,            0.042968,            0.008091,           0.0065859,            0.008449,            0.008449,            0.008449
                  49,            0.046925,            0.013368,            0.012889,             0.58377,             0.45055,             0.47404,             0.28098,            0.043371,           0.0081351,           0.0066831,            0.008416,            0.008416,            0.008416
